iter	Passed	Remaining
399	56651	56651
400	56789	56506
401	56935	56368
402	57079	56229
403	57217	56084
404	57365	55949
405	57507	55807
406	57642	55659
407	57779	55513
408	57921	55372
409	58057	55225
410	58204	55089
411	58349	54950
412	58491	54809
413	58628	54663
414	58772	54523
415	58917	54385
416	59048	54234
417	59188	54091
418	59320	53940
419	59461	53798
420	59608	53662
421	59757	53526
422	59894	53380
423	60022	53227
424	60165	53087
425	60312	52949
426	60445	52801
427	60583	52656
428	60720	52510
429	60848	52357
430	60991	52217
431	61130	52073
432	61280	51939
433	61418	51794
434	61556	51650
435	61686	51499
436	61830	51360
437	61962	51211
438	62110	51075
439	62258	50938
440	62404	50800
441	62545	50658
442	62680	50511
443	62815	50365
444	62951	50219
445	63095	50080
446	63235	49937
447	63373	49793
448	63514	49651
449	63643	49500
450	63786	49360
451	63931	49221
452	64073	49080
453	64217	48941
454	64354	48795
455	64486	48647
456	64623	48502
457	64759	48357
458	64894	48211
459	65020	48058
460	65155	47912
461	65304	47776
462	65439	47630
463	65590	47496
464	65725	47350
465	65858	47203
466	66000	47062
467	66134	46916
468	66277	46775
469	66422	46636
470	66555	46490
471	66694	46347
472	66827	46200
473	66966	46057
474	67095	45907
475	67243	45770
476	67384	45629
477	67514	45480
478	67650	45335
479	67785	45190
480	67927	45049
481	68061	44903
482	68203	44762
483	68356	44629
484	68501	44490
485	68638	44346
486	68770	44199
487	68901	44051
488	69037	43907
489	69172	43762
490	69310	43619
491	69452	43478
492	69600	43341
493	69747	43203
494	69879	43057
495	70014	42912
496	70162	42775
497	70298	42630
498	70442	42491
499	70579	42347
500	70718	42205
501	70856	42062
502	70995	41919
503	71129	41774
504	71268	41632
505	71391	41480
506	71526	41335
507	71661	41191
508	71794	41045
509	71931	40901
510	72074	40762
511	72207	40616
512	72344	40473
513	72484	40331
514	72625	40190
515	72772	40053
516	72911	39910
517	73056	39772
518	73187	39625
519	73329	39485
520	73507	39363
521	73634	39215
522	73779	39076
523	73911	38930
524	74045	38785
525	74184	38643
526	74323	38501
527	74456	38356
528	74586	38209
529	74732	38071
530	74868	37927
531	75003	37783
532	75146	37643
533	75282	37500
534	75429	37362
535	75553	37213
536	75691	37070
537	75828	36927
538	75959	36782
539	76099	36640
540	76242	36500
541	76381	36358
542	76518	36215
543	76650	36071
544	76796	35932
545	76942	35793
546	77084	35653
547	77222	35511
548	77356	35367
549	77492	35224
550	77633	35082
551	77774	34942
552	77902	34795
553	78041	34653
554	78182	34513
555	78338	34378
556	78478	34237
557	78620	34097
558	78760	33955
559	78904	33816
560	79043	33674
561	79177	33530
562	79311	33386
563	79446	33243
564	79595	33105
565	79737	32965
566	79878	32825
567	80027	32687
568	80172	32548
569	80303	32403
570	80444	32262
571	80584	32121
572	80720	31978
573	80861	31837
574	80995	31694
575	81135	31552
576	81277	31412
577	81413	31269
578	81548	31126
579	81680	30982
580	81818	30840
581	81958	30699
582	82096	30557
583	82232	30414
584	82363	30270
585	82508	30131
586	82651	29991
587	82794	29851
588	82931	29709
589	83067	29566
590	83208	29425
591	83350	29285
592	83489	29143
593	83628	29002
594	83775	28863
595	83910	28720
596	84052	28580
597	84191	28439
598	84328	28297
599	84467	28155
600	84611	28016
601	84749	27874
602	84895	27735
603	85033	27593
604	85175	27453
605	85310	27310
606	85438	27165
607	85586	27027
608	85729	26887
609	85872	26747
610	86002	26602
611	86148	26464
612	86294	26324
613	86436	26184
614	86570	26041
615	86715	25902
616	86859	25762
617	86994	25619
618	87132	25478
619	87275	25337
620	87420	25198
621	87562	25057
622	87710	24919
623	87850	24778
624	87991	24637
625	88136	24497
626	88274	24356
627	88427	24218
628	88562	24076
629	88701	23935
630	88852	23797
631	88993	23656
632	89145	23518
633	89280	23376
634	89414	23233
635	89570	23096
636	89710	22955
637	89851	22814
638	90001	22676
639	90140	22535
640	90293	22397
641	90430	22255
642	90572	22114
643	90703	21971
644	90845	21831
645	90987	21690
646	91131	21550
647	91274	21409
648	91413	21268
649	91550	21127
650	91680	20983
651	91811	20840
652	91955	20700
653	92096	20559
654	92236	20418
655	92368	20276
656	92508	20134
657	92652	19994
658	92794	19854
659	92920	19710
660	93053	19567
661	93199	19428
662	93338	19287
663	93479	19146
664	93616	19004
665	93755	18863
666	93892	18722
667	94034	18581
668	94170	18439
669	94316	18300
670	94453	18158
671	94583	18015
672	94725	17875
673	94860	17733
674	95005	17593
675	95145	17452
676	95283	17311
677	95415	17169
678	95544	17026
679	95691	16886
680	95840	16747
681	95985	16607
682	96126	16466
683	96268	16326
684	96413	16186
685	96556	16045
686	96704	15906
687	96841	15764
688	96976	15623
689	97119	15482
690	97257	15341
691	97403	15201
692	97546	15061
693	97686	14920
694	97818	14778
695	97953	14636
696	98085	14494
697	98220	14353
698	98362	14212
699	98494	14070
700	98642	13930
701	98781	13789
702	98914	13648
703	99062	13508
704	99200	13367
705	99341	13226
706	99470	13084
707	99606	12943
708	99740	12801
709	99881	12661
710	100017	12519
711	100156	12378
712	100289	12237
713	100432	12096
714	100565	11955
715	100700	11814
716	100838	11673
717	100981	11532
718	101133	11393
719	101284	11253
720	101438	11114
721	101588	10974
722	101728	10834
723	101890	10695
724	102040	10555
725	102184	10415
726	102330	10275
727	102480	10135
728	102635	9996
729	102790	9856
730	102940	9716
731	103101	9577
732	103255	9438
733	103405	9298
734	103566	9158
735	103717	9018
736	103904	8881
737	104061	8742
738	104209	8601
739	104339	8459
740	104478	8318
741	104618	8177
742	104761	8036
743	104905	7896
744	105045	7755
745	105182	7613
746	105329	7473
747	105458	7331
748	105607	7190
749	105738	7049
750	105869	6907
751	106005	6766
752	106147	6625
753	106289	6484
754	106429	6343
755	106573	6202
756	106710	6061
757	106845	5920
758	106981	5778
759	107128	5638
760	107263	5497
761	107406	5356
762	107546	5215
763	107685	5074
764	107825	4933
765	107975	4792
766	108116	4651
767	108255	4510
768	108391	4369
769	108531	4228
770	108672	4087
771	108815	3946
772	108948	3805
773	109089	3664
774	109235	3523
775	109372	3382
776	109507	3241
777	109636	3100
778	109785	2959
779	109928	2818
780	110064	2677
781	110190	2536
782	110330	2395
783	110461	2254
784	110602	2113
785	110737	1972
786	110884	1831
787	111025	1690
788	111157	1549
789	111295	1408
790	111429	1267
791	111571	1126
792	111717	986
793	111855	845
794	112004	704
795	112139	563
796	112277	422
797	112413	281
798	112553	140
799	112688	0
