iter	MultiClass
227	0.7406128702
228	0.7396986331
229	0.7384529551
230	0.737569019
231	0.7364228762
232	0.7353493568
233	0.7348692305
234	0.7342298991
235	0.7332278909
236	0.7322855198
237	0.7315845114
238	0.7310478487
239	0.7303317511
240	0.7296651627
241	0.7290221661
242	0.7287553346
243	0.7279877973
244	0.7273958601
245	0.7269320732
246	0.725800178
247	0.7245501499
248	0.7241483982
249	0.7235983027
250	0.7224653046
251	0.7217954604
252	0.721277142
253	0.7202818157
254	0.7194669695
255	0.7186836027
256	0.7177653052
257	0.71712831
258	0.7159580415
259	0.7155792055
260	0.7152214857
261	0.7148253425
262	0.7143140858
263	0.7137756974
264	0.7131700357
265	0.7125044505
266	0.7116643924
267	0.710702053
268	0.7097553016
269	0.7092928372
270	0.7081243421
271	0.7076609374
272	0.7070330154
273	0.7064674931
274	0.7060114679
275	0.7052897707
276	0.7039264376
277	0.7034059665
278	0.7027180173
279	0.7018404406
280	0.7008499292
281	0.6998191231
282	0.6992965771
283	0.698304866
284	0.6976413001
285	0.6973194998
286	0.6961097036
287	0.695552197
288	0.69486622
289	0.6939839306
290	0.6932771389
291	0.6925323551
292	0.6920527021
293	0.6911445935
294	0.6900073522
295	0.689024884
296	0.6886945771
297	0.6881701576
298	0.6876011634
299	0.6866911037
300	0.6862815124
301	0.685775951
302	0.6852021019
303	0.6842917025
304	0.6835678055
305	0.6826076624
306	0.6821173039
307	0.6817415708
308	0.6806085426
309	0.6798325925
310	0.6791071425
311	0.6782833949
312	0.6772523237
313	0.6768399367
314	0.676415216
315	0.6757394542
316	0.6749650015
317	0.6746290702
318	0.6737285333
319	0.6731021749
320	0.6721010697
321	0.6714987935
322	0.6710294544
323	0.6705641388
324	0.6699694382
325	0.6688864941
326	0.6681915045
327	0.667394575
328	0.6669843569
329	0.6665396854
330	0.6656922616
331	0.6647182835
332	0.6641655282
333	0.663343974
334	0.6628010965
335	0.6621615009
336	0.6614473254
337	0.6608865756
338	0.6599937906
339	0.6597405593
340	0.6592090178
341	0.6584876311
342	0.6574019882
343	0.6569092706
344	0.6559545945
345	0.6556003373
346	0.6550639016
347	0.6543117828
348	0.6536342416
349	0.6531358111
350	0.6526845613
351	0.6520573276
352	0.6517369549
353	0.6514979142
354	0.6503229167
355	0.6495296521
356	0.6492285785
357	0.6485383002
358	0.6480753699
359	0.6474608097
360	0.6461254037
361	0.6455843565
362	0.6451266046
363	0.6446136117
364	0.6442331903
365	0.6440681392
366	0.6430999501
367	0.6426237195
368	0.641527264
369	0.6409004091
370	0.6402115025
371	0.6395205255
372	0.6392078511
373	0.6386782462
374	0.6376906204
375	0.6369110321
376	0.6365751126
377	0.6359789002
378	0.6352521389
379	0.6348828968
380	0.6340838168
381	0.6334264901
382	0.632678609
383	0.6320692802
384	0.6314190383
385	0.6310794118
386	0.6302468717
387	0.6296654569
388	0.6289339363
389	0.6279603448
390	0.6274188892
391	0.6268579125
392	0.6260380727
393	0.6256739405
394	0.6253060311
395	0.6245820579
396	0.6239656798
397	0.6231899152
398	0.6223430171
399	0.62189786
400	0.6215654585
401	0.621230457
402	0.6205350699
403	0.6194890893
404	0.6186403379
405	0.6182923693
406	0.6176393376
407	0.6168313396
408	0.6164884885
409	0.6160884359
410	0.6156153545
411	0.6148313431
412	0.6144956526
413	0.61352511
414	0.6130464837
415	0.6123161184
416	0.6116400169
417	0.6111360985
418	0.6103617124
419	0.6099995438
420	0.6093967236
421	0.6084993669
422	0.6080251881
423	0.6075451661
424	0.6068905675
425	0.606222722
426	0.6059404992
427	0.6054009427
428	0.605138393
429	0.6048195111
430	0.6044841125
431	0.6036057299
432	0.6032661828
433	0.6027397534
434	0.6021014287
435	0.6015363003
436	0.6012850413
437	0.6007669088
438	0.60044024
439	0.6000688173
440	0.5995590399
441	0.5988956721
442	0.5982829559
443	0.5976535892
444	0.5972683024
445	0.5971488177
446	0.5963354624
447	0.595863922
448	0.5951167148
449	0.594367862
450	0.5935845038
451	0.5931892051
452	0.5928083576
453	0.5923914698
454	0.5919548109
455	0.5913785723
456	0.5908912642
457	0.590165257
458	0.5893959754
459	0.5889630272
460	0.5882595145
461	0.587944912
462	0.5873367219
463	0.5869165617
464	0.5862153086
465	0.5855693204
466	0.585151825
467	0.5845301244
468	0.5839690123
469	0.5836704021
470	0.583254623
471	0.5827704264
472	0.5825038794
473	0.5819863453
474	0.581102276
475	0.5809032418
476	0.5802521495
477	0.5796776686
478	0.5788867432
479	0.5780595111
480	0.5775315458
481	0.576734922
482	0.5762226643
483	0.5759817775
484	0.5755342345
485	0.5751273402
486	0.5745932686
487	0.5738014094
488	0.5731399474
489	0.572499651
490	0.5720522251
491	0.5714401234
492	0.5710153344
493	0.5705393418
494	0.5700186147
495	0.5695296587
496	0.5692511246
497	0.5688532086
498	0.5679194874
499	0.5671673682
500	0.5665828546
501	0.5657643647
502	0.5649182276
503	0.5641483231
504	0.5638908482
505	0.5630127409
506	0.5624924619
507	0.5618177116
508	0.5609969601
509	0.5606834283
510	0.5602566908
511	0.5595604473
512	0.5589724788
513	0.5579817508
514	0.5577321121
515	0.5572438932
516	0.5568861262
517	0.5563187406
518	0.5558533523
519	0.5553053957
520	0.5545449282
521	0.5540052827
522	0.5535710278
523	0.5528131125
524	0.5524803026
525	0.5518105526
526	0.5512855848
527	0.5507418913
528	0.5501430306
529	0.5496658683
530	0.5492215465
531	0.5486097314
532	0.5479165483
533	0.5473809881
534	0.5469049007
535	0.5463923763
536	0.5459037981
537	0.5454913534
538	0.5451152704
539	0.5446893533
540	0.5438708031
541	0.5434203451
542	0.5426848101
543	0.5422691231
544	0.5416289672
545	0.5410406732
546	0.5405834861
547	0.540192535
548	0.5396075151
549	0.5390923498
550	0.5384014117
551	0.5377861493
552	0.5374781552
553	0.5373125519
554	0.5368862832
555	0.5364410602
556	0.5361050966
557	0.535841005
558	0.5351491369
559	0.5349339863
560	0.5347765867
561	0.5343824988
562	0.5339070916
563	0.5334215325
564	0.5332982972
565	0.5324872958
566	0.5322296436
567	0.5315469985
568	0.5307505198
569	0.5302836922
570	0.5297956281
571	0.5294987836
572	0.5290467524
573	0.5285442532
574	0.5280731108
575	0.5274159021
576	0.5268689266
577	0.5261983691
578	0.5256642787
579	0.5248508499
580	0.5243251571
581	0.5239203262
582	0.5234227623
583	0.5228263449
584	0.5225900199
585	0.5218447385
586	0.5213661644
587	0.520972724
588	0.5205681277
589	0.5197556377
590	0.5189375269
591	0.5185981044
592	0.5181453188
593	0.5176413259
594	0.5169489183
595	0.5163176973
596	0.5158634837
597	0.5152004938
598	0.5146119706
599	0.5139359181
600	0.5137034551
601	0.513287102
602	0.5127331811
603	0.5123816053
604	0.5121008279
605	0.5114964002
606	0.5107913803
607	0.5104055126
608	0.5099488313
609	0.5095134759
610	0.5090005511
611	0.5084994388
612	0.5079059862
613	0.5073616334
614	0.5068617623
615	0.5061097204
616	0.5054204917
617	0.5051645962
618	0.5048248971
619	0.5046256528
620	0.5043830776
621	0.504106611
622	0.5034306504
623	0.503234654
624	0.5026437387
625	0.5022030896
626	0.5014524839
627	0.5009300395
628	0.5004506434
629	0.5001023595
630	0.4997822279
631	0.4990928791
632	0.4986279562
633	0.4983064764
634	0.4980121633
635	0.497651682
636	0.4968585477
637	0.4963876795
638	0.4958764197
639	0.495407386
640	0.4951228049
641	0.4944882393
642	0.4941566326
643	0.4937374631
644	0.4931772167
645	0.4928364795
646	0.4920383712
647	0.4915056818
648	0.4908750611
649	0.4902512424
650	0.4899545882
651	0.4893098112
652	0.4888262507
653	0.4881078754
654	0.4876589022
655	0.4869873932
656	0.4865881251
657	0.4860522187
658	0.4855116469
659	0.4850833442
660	0.4846951249
661	0.4844720122
662	0.4839853531
663	0.4836784367
664	0.4835769099
665	0.4830629975
666	0.4825379465
667	0.4821924105
668	0.481832483
669	0.4815810604
670	0.481440712
671	0.4812708667
672	0.4808190918
673	0.4806304811
674	0.4801955988
675	0.4794236698
676	0.4791464277
677	0.4786818866
678	0.4780773185
679	0.4772781449
680	0.4769347902
681	0.476398006
682	0.476026728
683	0.4757961978
684	0.4753091531
685	0.4750136175
686	0.47486255
687	0.4744857037
688	0.4742229065
689	0.4737708181
690	0.4729556728
691	0.4726452871
692	0.4721756446
693	0.4718069368
694	0.4714054932
695	0.4708443749
696	0.4704440064
697	0.4700717369
698	0.4697007002
699	0.4687679702
700	0.4685609264
701	0.4679542273
702	0.4676543579
703	0.4671713171
704	0.4668023096
705	0.4664487373
706	0.4661526099
707	0.4658200703
708	0.4653585287
709	0.464724582
710	0.4642721425
711	0.4635565721
712	0.4632992709
713	0.462800348
714	0.4620726988
715	0.4612669287
716	0.460829421
717	0.4602725101
718	0.4597631052
719	0.4594553812
720	0.4589745767
721	0.4585273678
722	0.4578382828
723	0.4574383387
724	0.4570416116
725	0.4567572148
726	0.4563344552
727	0.4561144465
728	0.4556773403
729	0.454934842
730	0.4545270914
731	0.4542454886
732	0.4539656029
733	0.4534298939
734	0.4531631126
735	0.4527029341
736	0.4522227818
737	0.4519246498
738	0.4516166483
739	0.4511302055
740	0.4507019614
741	0.4501746746
742	0.4495378244
743	0.4490133154
744	0.4487435109
745	0.4482267692
746	0.4480999274
747	0.4475879456
748	0.4472762442
749	0.4470583943
750	0.4465318746
751	0.4462345238
752	0.4458511982
753	0.4456599067
754	0.4453391175
755	0.4450659854
756	0.4446369038
757	0.4443334624
758	0.4439335821
759	0.4435297338
760	0.4432043194
761	0.4428302292
762	0.4424133444
763	0.4418970322
764	0.4415615086
765	0.4412660921
766	0.4408796491
767	0.44047623
768	0.4403191443
769	0.4398511236
770	0.4393208528
771	0.4390663784
772	0.4388122664
773	0.4382053108
774	0.4378170765
775	0.4371794797
776	0.4366768446
777	0.4362672855
778	0.4357713819
779	0.4355111475
780	0.4352166437
781	0.4349276616
782	0.4347671755
783	0.4340847503
784	0.4337583236
785	0.4336504685
786	0.4331226358
787	0.4326654371
788	0.4324626766
789	0.4319775485
790	0.4314562434
791	0.430728135
792	0.430282544
793	0.4298403823
794	0.4293209719
795	0.4290562863
796	0.4289475047
797	0.4286945719
798	0.4282622245
799	0.4278458792
